,neighbor,1,2,3
0,10000,"['Taxi Complaint', 41]","['Noise - Park', 26]","['Noise - Street/Sidewalk', 22]"
1,10001,"['Taxi Complaint', 840]","['Noise', 557]","['General Construction/Plumbing', 452]"
2,10002,"['HEATING', 1583]","['Noise - Commercial', 1198]","['Noise', 820]"
3,10003,"['HEATING', 1075]","['Noise', 1071]","['Noise - Commercial', 906]"
4,10004,"['Street Condition', 150]","['Noise', 144]","['Street Light Condition', 100]"
5,10005,"['Noise', 157]","['Street Condition', 105]","['Street Light Condition', 99]"
6,10006,"['Noise', 206]","['Traffic Signal Condition', 128]","['Taxi Complaint', 88]"
7,10007,"['Noise', 269]","['Street Condition', 234]","['Traffic Signal Condition', 225]"
8,10008,"['Consumer Complaint', 1]",,
9,10009,"['Noise - Commercial', 1993]","['HEATING', 1380]","['Noise', 956]"
10,10010,"['Noise', 918]","['HEATING', 677]","['Taxi Complaint', 476]"
11,10011,"['Noise', 1337]","['HEATING', 928]","['Noise - Commercial', 759]"
12,10012,"['Noise - Commercial', 751]","['Vending', 671]","['Noise', 618]"
13,10013,"['Noise', 783]","['Traffic Signal Condition', 686]","['HEATING', 538]"
14,10014,"['Noise - Commercial', 1161]","['HEATING', 982]","['Noise', 719]"
15,10015,,,
16,10016,"['GENERAL CONSTRUCTION', 1700]","['Noise', 1510]","['Taxi Complaint', 823]"
17,10017,"['Taxi Complaint', 784]","['Broken Muni Meter', 661]","['Street Condition', 320]"
18,10018,"['Taxi Complaint', 366]","['General Construction/Plumbing', 189]","['Street Condition', 179]"
19,10019,"['Broken Muni Meter', 1055]","['Noise', 1010]","['Taxi Complaint', 971]"
20,10020,"['Broken Muni Meter', 152]","['Taxi Complaint', 46]","['Noise - Street/Sidewalk', 27]"
21,10021,"['Noise', 1335]","['Taxi Complaint', 1052]","['Sewer', 934]"
22,10022,"['Taxi Complaint', 964]","['Noise', 761]","['Broken Muni Meter', 717]"
23,10023,"['Noise', 1156]","['HEATING', 842]","['Taxi Complaint', 535]"
24,10024,"['HEATING', 1281]","['Noise', 866]","['GENERAL CONSTRUCTION', 495]"
25,10025,"['HEATING', 2162]","['Noise', 1109]","['Noise - Street/Sidewalk', 989]"
26,10026,"['HEATING', 1339]","['Noise - Street/Sidewalk', 725]","['GENERAL CONSTRUCTION', 704]"
27,10027,"['HEATING', 2080]","['GENERAL CONSTRUCTION', 1245]","['PLUMBING', 1103]"
28,10028,"['HEATING', 880]","['Noise', 533]","['GENERAL CONSTRUCTION', 518]"
29,10029,"['HEATING', 1733]","['GENERAL CONSTRUCTION', 784]","['PLUMBING', 741]"
