,neighbor,1,2,3
0,10000,"('Noise - Park', 31)","('Street Condition', 18)","('Taxi Complaint', 6)"
1,10001,"('Homeless Person Assistance', 2768)","('Noise', 1504)","('Noise - Street/Sidewalk', 1129)"
2,10002,"('Noise - Residential', 2381)","('Noise - Commercial', 1639)","('HEAT/HOT WATER', 1382)"
3,10003,"('Homeless Person Assistance', 3572)","('Noise - Residential', 1450)","('HEAT/HOT WATER', 1334)"
4,10004,"('Homeless Person Assistance', 271)","('Noise', 250)","('Illegal Parking', 171)"
5,10005,"('Noise - Street/Sidewalk', 357)","('Noise', 329)","('Homeless Person Assistance', 270)"
6,10006,"('Noise', 275)","('Noise - Street/Sidewalk', 159)","('Homeless Person Assistance', 127)"
7,10007,"('Illegal Parking', 459)","('Noise', 400)","('Homeless Person Assistance', 279)"
8,10008,"('Housing - Low Income Senior', 1)",,
9,10009,"('Noise - Residential', 2385)","('Noise - Commercial', 1709)","('HEAT/HOT WATER', 1698)"
10,10010,"('Noise', 944)","('Homeless Person Assistance', 850)","('Noise - Residential', 629)"
11,10011,"('Homeless Person Assistance', 2180)","('Noise', 1268)","('HEAT/HOT WATER', 1086)"
12,10012,"('Homeless Person Assistance', 1332)","('Noise', 803)","('Noise - Commercial', 741)"
13,10013,"('Noise', 951)","('Broken Muni Meter', 774)","('Homeless Person Assistance', 648)"
14,10014,"('Noise - Residential', 894)","('Noise', 835)","('HEAT/HOT WATER', 770)"
15,10015,,,
16,10016,"('Homeless Person Assistance', 1840)","('Noise', 1759)","('HEAT/HOT WATER', 1042)"
17,10017,"('Homeless Person Assistance', 1446)","('Noise', 643)","('Illegal Parking', 611)"
18,10018,"('Homeless Person Assistance', 1547)","('Noise', 592)","('HEAT/HOT WATER', 286)"
19,10019,"('Homeless Person Assistance', 2438)","('Noise', 1490)","('HEAT/HOT WATER', 1476)"
20,10020,"('Vending', 108)","('Homeless Person Assistance', 49)","('Broken Muni Meter', 35)"
21,10021,"('Noise', 694)","('HEAT/HOT WATER', 562)","('Street Condition', 509)"
22,10022,"('Homeless Person Assistance', 1126)","('Noise', 842)","('Street Condition', 701)"
23,10023,"('Homeless Person Assistance', 2984)","('Noise', 802)","('Illegal Parking', 716)"
24,10024,"('HEAT/HOT WATER', 1801)","('Homeless Person Assistance', 1398)","('Noise', 926)"
25,10025,"('HEAT/HOT WATER', 2739)","('Noise - Residential', 1954)","('Homeless Person Assistance', 1615)"
26,10026,"('Noise - Residential', 1534)","('HEAT/HOT WATER', 1299)","('Noise - Street/Sidewalk', 1238)"
27,10027,"('Noise - Residential', 2561)","('HEAT/HOT WATER', 2530)","('Noise - Street/Sidewalk', 1687)"
28,10028,"('HEAT/HOT WATER', 737)","('Noise', 725)","('Noise - Residential', 587)"
29,10029,"('Noise - Residential', 2577)","('HEAT/HOT WATER', 2108)","('Noise - Commercial', 924)"
