,neighbor,1,2,3
0,10000,"('Noise - Park', 34)","('Taxi Complaint', 16)","('Violation of Park Rules', 8)"
1,10001,"('Noise', 801)","('Taxi Complaint', 710)","('Broken Muni Meter', 501)"
2,10002,"('Noise - Residential', 1846)","('HEATING', 1214)","('Broken Muni Meter', 925)"
3,10003,"('Broken Muni Meter', 1463)","('Noise', 1128)","('HEATING', 1076)"
4,10004,"('Noise', 215)","('Taxi Complaint', 142)","('Street Condition', 134)"
5,10005,"('Noise', 329)","('Broken Muni Meter', 252)","('Street Condition', 161)"
6,10006,"('Noise', 229)","('Street Condition', 68)","('Taxi Complaint', 52)"
7,10007,"('Noise', 344)","('Broken Muni Meter', 280)","('Street Condition', 229)"
8,10008,,,
9,10009,"('Noise - Residential', 1764)","('HEATING', 1733)","('Noise - Commercial', 1072)"
10,10010,"('Broken Muni Meter', 665)","('Noise', 558)","('Noise - Residential', 443)"
11,10011,"('Noise', 1023)","('Broken Muni Meter', 831)","('Noise - Residential', 765)"
12,10012,"('Noise - Commercial', 571)","('Noise', 520)","('Noise - Residential', 512)"
13,10013,"('Broken Muni Meter', 1258)","('Noise', 821)","('Street Condition', 419)"
14,10014,"('Noise - Commercial', 792)","('HEATING', 638)","('Noise', 576)"
15,10015,,,
16,10016,"('Noise', 1085)","('Broken Muni Meter', 888)","('HEATING', 813)"
17,10017,"('Broken Muni Meter', 600)","('Taxi Complaint', 507)","('Noise', 371)"
18,10018,"('Broken Muni Meter', 632)","('Consumer Complaint', 440)","('Taxi Complaint', 312)"
19,10019,"('Broken Muni Meter', 1333)","('Taxi Complaint', 964)","('Noise', 926)"
20,10020,"('Broken Muni Meter', 111)","('Taxi Complaint', 40)","('Street Condition', 25)"
21,10021,"('Noise', 521)","('DOF Property - Reduction Issue', 435)","('Street Condition', 393)"
22,10022,"('Broken Muni Meter', 728)","('Water System', 727)","('Noise', 667)"
23,10023,"('Broken Muni Meter', 1803)","('Noise', 960)","('Noise - Residential', 720)"
