,neighbor,1,2,3
0,10000,"('Noise - Park', 29)","('Violation of Park Rules', 13)","('Taxi Complaint', 12)"
1,10001,"('Taxi Complaint', 726)","('Noise - Residential', 485)","('Noise', 434)"
2,10002,"('Noise - Residential', 1300)","('HEATING', 1264)","('Noise - Commercial', 814)"
3,10003,"('HEATING', 944)","('Noise', 781)","('Noise - Residential', 762)"
4,10004,"('Street Condition', 141)","('Noise', 126)","('Traffic Signal Condition', 119)"
5,10005,"('Noise', 280)","('Broken Muni Meter', 159)","('Street Light Condition', 131)"
6,10006,"('Noise', 125)","('Street Condition', 56)","('Street Light Condition', 51)"
7,10007,"('Noise', 291)","('Street Condition', 258)","('Traffic Signal Condition', 185)"
8,10008,"('Housing - Low Income Senior', 1)",,
9,10009,"('HEATING', 1653)","('Noise - Residential', 1405)","('Noise - Commercial', 776)"
10,10010,"('Noise', 430)","('Taxi Complaint', 409)","('HEATING', 346)"
11,10011,"('Noise', 785)","('HEATING', 741)","('Noise - Residential', 692)"
12,10012,"('Noise - Commercial', 494)","('Taxi Complaint', 425)","('HEATING', 402)"
13,10013,"('Broken Muni Meter', 791)","('Noise', 571)","('Street Condition', 428)"
14,10014,"('HEATING', 639)","('Noise', 583)","('Street Condition', 547)"
15,10015,,,
16,10016,"('Noise', 833)","('Taxi Complaint', 714)","('Street Condition', 610)"
17,10017,"('Taxi Complaint', 530)","('Broken Muni Meter', 525)","('Noise', 352)"
18,10018,"('Broken Muni Meter', 338)","('Taxi Complaint', 329)","('Consumer Complaint', 286)"
19,10019,"('Broken Muni Meter', 1253)","('Taxi Complaint', 1112)","('Noise', 961)"
20,10020,"('Broken Muni Meter', 78)","('Taxi Complaint', 43)","('Noise', 16)"
21,10021,"('Noise', 468)","('Street Condition', 447)","('Taxi Complaint', 306)"
22,10022,"('Taxi Complaint', 696)","('Broken Muni Meter', 627)","('Noise', 537)"
23,10023,"('Noise', 742)","('Broken Muni Meter', 558)","('Noise - Residential', 531)"
24,10024,"('HEATING', 903)","('Noise - Residential', 617)","('Noise', 513)"
25,10025,"('HEATING', 2358)","('Noise - Residential', 1404)","('GENERAL CONSTRUCTION', 779)"
26,10026,"('HEATING', 1337)","('Noise - Residential', 1077)","('GENERAL CONSTRUCTION', 659)"
27,10027,"('HEATING', 2019)","('Noise - Residential', 1459)","('GENERAL CONSTRUCTION', 1088)"
28,10028,"('HEATING', 624)","('Broken Muni Meter', 387)","('Noise', 383)"
29,10029,"('Noise - Residential', 1517)","('HEATING', 1466)","('GENERAL CONSTRUCTION', 1083)"
30,10030,"('HEATING', 1295)","('Noise - Residential', 990)","('GENERAL CONSTRUCTION', 922)"
31,10031,"('HEATING', 3645)","('GENERAL CONSTRUCTION', 2399)","('Noise - Residential', 2166)"
32,10032,"('HEATING', 3197)","('GENERAL CONSTRUCTION', 2275)","('Noise - Residential', 1868)"
33,10033,"('HEATING', 2598)","('GENERAL CONSTRUCTION', 1625)","('Noise - Residential', 1432)"
34,10034,"('HEATING', 3359)","('Noise - Residential', 1180)","('GENERAL CONSTRUCTION', 1123)"
35,10035,"('HEATING', 985)","('GENERAL CONSTRUCTION', 811)","('Noise - Residential', 780)"
36,10036,"('Taxi Complaint', 1027)","('Street Condition', 657)","('Broken Muni Meter', 614)"
37,10037,"('Noise - Residential', 485)","('HEATING', 417)","('GENERAL CONSTRUCTION', 391)"
38,10038,"('Noise', 711)","('Noise - Residential', 362)","('Street Condition', 221)"
39,10039,"('Noise - Residential', 1028)","('HEATING', 1010)","('GENERAL CONSTRUCTION', 527)"
40,10040,"('HEATING', 4873)","('GENERAL CONSTRUCTION', 1452)","('Noise - Residential', 1398)"
41,10041,"('Emergency Response Team (ERT)', 1)","('Noise', 1)",
42,10042,,,
43,10043,,,
44,10044,"('Noise', 26)","('Taxi Complaint', 24)","('Bridge Condition', 14)"
45,10045,"('Emergency Response Team (ERT)', 1)",,
46,10046,,,
47,10047,,,
48,10048,"('Traffic Signal Condition', 13)","('Taxi Complaint', 9)","('Street Condition', 5)"
49,10049,,,
50,10050,,,
51,10051,,,
52,10052,,,
53,10053,,,
54,10054,,,
55,10055,,,
56,10056,,,
57,10057,,,
58,10058,,,
59,10059,,,
60,10060,,,
61,10061,,,
62,10062,,,
63,10063,,,
64,10064,,,
65,10065,"('Noise', 404)","('Street Condition', 345)","('Broken Muni Meter', 315)"
66,10066,,,
67,10067,,,
68,10068,,,
69,10069,"('Taxi Complaint', 45)","('DOF Property - Owner Issue', 40)","('Noise', 34)"
70,10070,,,
71,10071,,,
72,10072,,,
73,10073,,,
74,10074,,,
75,10075,"('HEATING', 290)","('Taxi Complaint', 225)","('Street Condition', 218)"
76,10076,,,
77,10077,,,
78,10078,,,
79,10079,,,
80,10080,,,
81,10081,,,
82,10082,,,
83,10083,,,
84,10084,,,
85,10085,,,
86,10086,,,
87,10087,,,
88,10088,,,
89,10089,,,
90,10090,,,
91,10091,,,
92,10092,,,
93,10093,,,
94,10094,,,
95,10095,,,
96,10096,,,
97,10097,,,
98,10098,,,
99,10099,,,
100,10100,,,
101,10101,,,
102,10102,,,
103,10103,"('Noise', 4)","('Emergency Response Team (ERT)', 1)","('Sewer', 1)"
104,10104,"('Sidewalk Condition', 1)","('Blocked Driveway', 1)","('Broken Muni Meter', 1)"
105,10105,,,
106,10106,"('Emergency Response Team (ERT)', 2)",,
107,10107,"('Elevator', 1)","('Noise', 1)",
108,10108,,,
109,10109,,,
110,10110,,,
111,10111,"('Sewer', 1)","('Noise', 1)","('Water System', 1)"
112,10112,"('Noise', 2)","('Asbestos', 1)","('Water System', 1)"
113,10113,,,
114,10114,,,
115,10115,,,
116,10116,"('Consumer Complaint', 1)",,
117,10117,,,
118,10118,"('Construction Safety Enforcement', 3)","('Emergency Response Team (ERT)', 3)",
119,10119,"('Air Quality', 3)","('Sewer', 1)",
120,10120,,,
121,10121,"('Construction Safety Enforcement', 15)",,
