,neighbor,1,2,3
0,10000,"('Noise - Street/Sidewalk', 59)","('Street Condition', 34)","('Noise - Park', 28)"
1,10001,"('Noise', 1314)","('Homeless Person Assistance', 1017)","('Noise - Residential', 804)"
2,10002,"('Noise - Residential', 2792)","('Noise - Commercial', 1821)","('HEAT/HOT WATER', 1777)"
3,10003,"('Noise', 1473)","('Noise - Residential', 1331)","('HEAT/HOT WATER', 1235)"
4,10004,"('Noise', 271)","('Vending', 268)","('Illegal Parking', 239)"
5,10005,"('Noise', 300)","('Vending', 284)","('Illegal Parking', 105)"
6,10006,"('Noise', 357)","('Illegal Parking', 78)","('Street Condition', 60)"
7,10007,"('Vending', 615)","('Noise', 402)","('Illegal Parking', 309)"
8,10008,"('Consumer Complaint', 1)",,
9,10009,"('Noise - Residential', 2582)","('HEAT/HOT WATER', 1492)","('Noise - Commercial', 1488)"
10,10010,"('Noise - Residential', 805)","('Noise', 760)","('Homeless Person Assistance', 470)"
11,10011,"('Noise', 1286)","('HEAT/HOT WATER', 874)","('Noise - Residential', 800)"
12,10012,"('Noise - Commercial', 814)","('Noise', 799)","('Noise - Street/Sidewalk', 796)"
13,10013,"('Noise - Vehicle', 1501)","('Noise', 937)","('Illegal Parking', 576)"
14,10014,"('Noise', 907)","('Noise - Residential', 722)","('Noise - Commercial', 595)"
15,10015,,,
16,10016,"('Noise', 2117)","('Homeless Person Assistance', 1135)","('HEAT/HOT WATER', 940)"
17,10017,"('Homeless Person Assistance', 817)","('Noise', 716)","('Illegal Parking', 634)"
18,10018,"('Homeless Person Assistance', 618)","('Noise', 596)","('Street Condition', 295)"
19,10019,"('Noise', 1467)","('Homeless Person Assistance', 1010)","('HEAT/HOT WATER', 1009)"
20,10020,"('Vending', 79)","('Street Condition', 32)","('Illegal Parking', 32)"
21,10021,"('HEAT/HOT WATER', 534)","('Noise', 520)","('New Tree Request', 394)"
22,10022,"('Noise', 723)","('Street Condition', 628)","('Homeless Person Assistance', 602)"
23,10023,"('Homeless Person Assistance', 1850)","('Noise', 1199)","('Illegal Parking', 957)"
24,10024,"('Noise - Residential', 1360)","('HEAT/HOT WATER', 1309)","('Noise', 1023)"
25,10025,"('HEAT/HOT WATER', 2397)","('Noise - Residential', 2087)","('Noise', 1398)"
26,10026,"('Noise - Residential', 1642)","('Noise - Street/Sidewalk', 1547)","('HEAT/HOT WATER', 1331)"
27,10027,"('Noise - Residential', 2566)","('HEAT/HOT WATER', 2283)","('Noise - Street/Sidewalk', 1292)"
28,10028,"('Noise', 1011)","('HEAT/HOT WATER', 647)","('Noise - Residential', 551)"
29,10029,"('Noise - Residential', 3285)","('HEAT/HOT WATER', 2154)","('Noise - Street/Sidewalk', 1056)"
