,neighbor,1,2,3
0,10000,"('Noise - Park', 34)","('Street Condition', 11)","('Violation of Park Rules', 7)"
1,10001,"('Noise', 1288)","('Taxi Complaint', 672)","('Street Condition', 617)"
2,10002,"('Noise - Residential', 1956)","('Noise - Commercial', 1083)","('Noise', 927)"
3,10003,"('Noise', 1247)","('Noise - Residential', 1201)","('Broken Muni Meter', 839)"
4,10004,"('Noise', 219)","('Street Condition', 217)","('Taxi Complaint', 116)"
5,10005,"('Noise', 325)","('Street Condition', 182)","('Noise - Street/Sidewalk', 144)"
6,10006,"('Noise', 270)","('Street Condition', 96)","('Taxi Complaint', 61)"
7,10007,"('Noise', 374)","('Street Condition', 291)","('Broken Muni Meter', 237)"
8,10008,"('SCRIE', 1)",,
9,10009,"('Noise - Residential', 2125)","('Noise - Commercial', 1116)","('Noise', 864)"
10,10010,"('Noise', 729)","('Noise - Residential', 709)","('Indoor Air Quality', 392)"
11,10011,"('Noise', 1183)","('Noise - Commercial', 743)","('Street Condition', 729)"
12,10012,"('Noise', 764)","('Noise - Commercial', 667)","('Noise - Residential', 600)"
13,10013,"('Noise', 1126)","('Broken Muni Meter', 1074)","('Street Condition', 679)"
14,10014,"('Noise', 695)","('Noise - Commercial', 688)","('Noise - Residential', 649)"
15,10015,"('Consumer Complaint', 1)",,
16,10016,"('Noise', 1809)","('Street Condition', 881)","('Noise - Residential', 761)"
17,10017,"('Noise', 514)","('Street Condition', 493)","('Illegal Parking', 463)"
18,10018,"('Consumer Complaint', 407)","('Broken Muni Meter', 374)","('Noise', 313)"
19,10019,"('Noise', 1412)","('Street Condition', 944)","('Broken Muni Meter', 893)"
20,10020,"('Broken Muni Meter', 56)","('Noise', 31)","('Taxi Complaint', 26)"
21,10021,"('Noise', 638)","('Broken Muni Meter', 636)","('Street Condition', 510)"
22,10022,"('Street Condition', 825)","('Noise', 763)","('Taxi Complaint', 573)"
23,10023,"('Broken Muni Meter', 2462)","('Noise', 979)","('Street Condition', 766)"
24,10024,"('Broken Muni Meter', 1601)","('Noise - Residential', 992)","('HEAT/HOT WATER', 822)"
25,10025,"('Noise - Residential', 2244)","('HEAT/HOT WATER', 1591)","('Noise', 952)"
26,10026,"('Noise - Residential', 1794)","('HEAT/HOT WATER', 967)","('Noise - Street/Sidewalk', 838)"
27,10027,"('Noise - Residential', 2751)","('HEAT/HOT WATER', 1613)","('HEATING', 1272)"
28,10028,"('Broken Muni Meter', 857)","('Noise', 601)","('Noise - Residential', 490)"
29,10029,"('Noise - Residential', 2550)","('HEAT/HOT WATER', 1385)","('Noise - Commercial', 1068)"
30,10030,"('Noise - Residential', 1878)","('HEAT/HOT WATER', 1176)","('HEATING', 911)"
31,10031,"('Noise - Residential', 3858)","('HEAT/HOT WATER', 2713)","('HEATING', 2041)"
32,10032,"('Noise - Residential', 3255)","('HEAT/HOT WATER', 2229)","('PAINT/PLASTER', 1747)"
33,10033,"('Noise - Residential', 2187)","('HEAT/HOT WATER', 1716)","('HEATING', 1518)"
34,10034,"('Noise - Residential', 2295)","('HEAT/HOT WATER', 1600)","('Noise - Commercial', 1290)"
35,10035,"('Noise - Residential', 1192)","('HEAT/HOT WATER', 715)","('HEATING', 511)"
36,10036,"('Noise', 907)","('Street Condition', 801)","('Noise - Commercial', 706)"
37,10037,"('Noise - Residential', 570)","('HEATING', 498)","('HEAT/HOT WATER', 465)"
38,10038,"('Noise', 828)","('Noise - Residential', 353)","('Street Condition', 324)"
39,10039,"('Noise - Residential', 1779)","('HEAT/HOT WATER', 623)","('HEATING', 512)"
40,10040,"('HEAT/HOT WATER', 3259)","('Noise - Residential', 2861)","('HEATING', 2082)"
41,10041,"('Noise', 3)","('Sewer', 2)","('Taxi Complaint', 1)"
42,10042,,,
43,10043,,,
44,10044,"('HEATING', 57)","('HEAT/HOT WATER', 34)","('Noise', 29)"
45,10045,,,
46,10046,,,
47,10047,,,
48,10048,"('Traffic Signal Condition', 13)","('Taxi Complaint', 11)","('Street Condition', 5)"
49,10049,,,
50,10050,,,
51,10051,,,
52,10052,,,
53,10053,,,
54,10054,,,
55,10055,,,
56,10056,,,
57,10057,,,
58,10058,,,
59,10059,,,
60,10060,,,
61,10061,,,
62,10062,,,
63,10063,,,
64,10064,,,
65,10065,"('Noise', 517)","('Street Condition', 480)","('Broken Muni Meter', 324)"
66,10066,,,
67,10067,,,
68,10068,,,
69,10069,"('Illegal Parking', 54)","('Noise - Residential', 47)","('DOF Property - Owner Issue', 35)"
70,10070,,,
71,10071,,,
72,10072,,,
73,10073,,,
74,10074,,,
75,10075,"('Street Condition', 352)","('Noise', 313)","('Broken Muni Meter', 300)"
76,10076,,,
77,10077,,,
78,10078,,,
79,10079,,,
80,10080,,,
81,10081,,,
82,10082,,,
83,10083,,,
84,10084,,,
85,10085,,,
86,10086,,,
87,10087,,,
88,10088,,,
89,10089,,,
90,10090,,,
91,10091,,,
92,10092,,,
93,10093,,,
94,10094,,,
95,10095,,,
96,10096,,,
97,10097,,,
98,10098,,,
99,10099,,,
100,10100,,,
101,10101,"('Broken Muni Meter', 1)",,
102,10102,,,
103,10103,"('Broken Muni Meter', 4)","('Consumer Complaint', 3)","('Taxi Complaint', 2)"
104,10104,"('Housing Options', 1)",,
105,10105,,,
106,10106,,,
107,10107,"('Noise', 4)","('General Construction/Plumbing', 1)","('Emergency Response Team (ERT)', 1)"
108,10108,"('Housing - Low Income Senior', 1)",,
