,neighbor,1,2,3
0,10000,"('Taxi Complaint', 27)","('Noise - Street/Sidewalk', 21)","('Noise - Park', 18)"
1,10001,"('Taxi Complaint', 533)","('HEATING', 407)","('Noise - Commercial', 315)"
2,10002,"('Noise - Commercial', 1259)","('HEATING', 1034)","('Noise - Street/Sidewalk', 691)"
3,10003,"('Noise - Commercial', 1087)","('Noise - Street/Sidewalk', 883)","('Noise', 732)"
4,10004,"('Taxi Complaint', 198)","('Noise', 98)","('Street Condition', 73)"
5,10005,"('Noise', 64)","('Street Sign - Damaged', 51)","('Street Condition', 40)"
6,10006,"('Taxi Complaint', 180)","('Noise', 81)","('Water System', 51)"
7,10007,"('Street Condition', 141)","('Taxi Complaint', 137)","('Noise', 118)"
8,10008,,,
9,10009,"('Noise - Commercial', 1772)","('HEATING', 1046)","('Noise - Street/Sidewalk', 835)"
10,10010,"('Noise - Commercial', 550)","('HEATING', 370)","('Noise', 344)"
11,10011,"('Noise - Commercial', 734)","('HEATING', 652)","('Noise', 604)"
12,10012,"('Noise - Commercial', 1158)","('Noise', 403)","('Noise - Street/Sidewalk', 401)"
13,10013,"('Noise - Commercial', 465)","('General Construction/Plumbing', 454)","('HEATING', 425)"
14,10014,"('Noise - Commercial', 991)","('HEATING', 757)","('Noise - Street/Sidewalk', 562)"
15,10015,,,
16,10016,"('Noise', 530)","('Taxi Complaint', 498)","('HEATING', 472)"
17,10017,"('Taxi Complaint', 447)","('Sewer', 283)","('Street Condition', 262)"
18,10018,"('Taxi Complaint', 273)","('Noise - Commercial', 232)","('Water System', 155)"
19,10019,"('Taxi Complaint', 690)","('Noise', 530)","('HEATING', 475)"
20,10020,"('Taxi Complaint', 60)","('Vending', 58)","('Noise - Street/Sidewalk', 24)"
21,10021,"('Noise', 1003)","('Taxi Complaint', 702)","('Sewer', 660)"
22,10022,"('Taxi Complaint', 548)","('Noise', 485)","('Street Condition', 427)"
23,10023,"('HEATING', 503)","('Noise', 500)","('Noise - Street/Sidewalk', 375)"
24,10024,"('HEATING', 724)","('Noise - Street/Sidewalk', 488)","('Noise', 436)"
25,10025,"('Noise - Street/Sidewalk', 1429)","('HEATING', 1283)","('GENERAL CONSTRUCTION', 717)"
26,10026,"('HEATING', 977)","('Noise - Street/Sidewalk', 798)","('PLUMBING', 740)"
27,10027,"('HEATING', 1436)","('Noise - Street/Sidewalk', 866)","('GENERAL CONSTRUCTION', 826)"
28,10028,"('HEATING', 480)","('Noise', 360)","('Noise - Commercial', 345)"
29,10029,"('HEATING', 1124)","('Noise - Street/Sidewalk', 667)","('PLUMBING', 529)"
30,10030,"('HEATING', 869)","('Noise - Street/Sidewalk', 506)","('GENERAL CONSTRUCTION', 498)"
31,10031,"('HEATING', 3014)","('GENERAL CONSTRUCTION', 1938)","('PLUMBING', 1646)"
32,10032,"('HEATING', 2691)","('GENERAL CONSTRUCTION', 1915)","('PLUMBING', 1710)"
33,10033,"('HEATING', 1720)","('PLUMBING', 1063)","('GENERAL CONSTRUCTION', 1022)"
34,10034,"('HEATING', 1440)","('GENERAL CONSTRUCTION', 1051)","('PAINT - PLASTER', 970)"
35,10035,"('HEATING', 793)","('GENERAL CONSTRUCTION', 498)","('PLUMBING', 472)"
36,10036,"('Taxi Complaint', 534)","('Noise - Street/Sidewalk', 390)","('Noise', 379)"
37,10037,"('HEATING', 651)","('Noise - Street/Sidewalk', 272)","('PLUMBING', 268)"
38,10038,"('Street Condition', 252)","('Noise', 182)","('Noise - Street/Sidewalk', 140)"
39,10039,"('HEATING', 757)","('GENERAL CONSTRUCTION', 440)","('PLUMBING', 435)"
40,10040,"('HEATING', 1715)","('GENERAL CONSTRUCTION', 952)","('Noise - Street/Sidewalk', 849)"
41,10041,,,
42,10042,,,
43,10043,,,
44,10044,"('Noise', 17)","('Noise - Street/Sidewalk', 13)","('Water System', 12)"
45,10045,,,
46,10046,,,
47,10047,,,
48,10048,"('Street Light Condition', 11)","('Vending', 6)","('Sewer', 4)"
49,10049,,,
50,10050,,,
51,10051,,,
52,10052,,,
53,10053,,,
54,10054,,,
55,10055,,,
56,10056,,,
57,10057,,,
58,10058,,,
59,10059,,,
60,10060,,,
61,10061,,,
62,10062,,,
63,10063,,,
64,10064,,,
65,10065,"('HEATING', 289)","('Street Condition', 146)","('General Construction/Plumbing', 134)"
66,10066,,,
67,10067,,,
68,10068,,,
69,10069,"('Taxi Complaint', 6)","('Emergency Response Team (ERT)', 4)","('Noise', 4)"
70,10070,,,
71,10071,,,
72,10072,,,
73,10073,,,
74,10074,,,
75,10075,"('HEATING', 293)","('General Construction/Plumbing', 174)","('GENERAL CONSTRUCTION', 136)"
76,10076,,,
77,10077,,,
78,10078,,,
79,10079,,,
80,10080,,,
81,10081,,,
82,10082,,,
83,10083,,,
84,10084,,,
85,10085,,,
86,10086,,,
87,10087,,,
88,10088,,,
89,10089,,,
90,10090,,,
91,10091,,,
92,10092,,,
93,10093,,,
94,10094,,,
95,10095,,,
96,10096,,,
97,10097,,,
98,10098,,,
99,10099,,,
100,10100,,,
101,10101,,,
102,10102,,,
103,10103,,,
104,10104,,,
105,10105,,,
106,10106,,,
107,10107,,,
108,10108,,,
109,10109,,,
110,10110,,,
111,10111,,,
112,10112,,,
113,10113,,,
114,10114,,,
115,10115,,,
116,10116,,,
117,10117,,,
118,10118,,,
119,10119,,,
120,10120,,,
121,10121,,,
122,10122,,,
123,10123,,,
124,10124,,,
125,10125,,,
126,10126,,,
127,10127,,,
128,10128,"('Noise', 464)","('HEATING', 438)","('Noise - Street/Sidewalk', 241)"
129,10129,,,
130,10130,,,
131,10131,,,
132,10132,,,
133,10133,,,
134,10134,,,
135,10135,"('Consumer Complaint', 1)",,
136,10136,,,
137,10137,,,
138,10138,,,
139,10139,,,
140,10140,,,
141,10141,,,
142,10142,,,
143,10143,,,
144,10144,,,
145,10145,,,
146,10146,,,
147,10147,,,
148,10148,,,
149,10149,,,
150,10150,,,
151,10151,,,
152,10152,,,
153,10153,,,
154,10154,,,
155,10155,,,
156,10156,,,
157,10157,,,
158,10158,,,
159,10159,,,
160,10160,,,
161,10161,,,
162,10162,"('Taxi Complaint', 3)","('Disorderly Youth', 2)","('Noise - Street/Sidewalk', 2)"
163,10163,,,
164,10164,,,
165,10165,,,
166,10166,,,
167,10167,,,
168,10168,,,
169,10169,,,
170,10170,,,
171,10171,,,
172,10172,,,
173,10173,,,
174,10174,,,
175,10175,,,
176,10176,,,
177,10177,,,
178,10178,,,
179,10179,,,
180,10180,,,
181,10181,,,
182,10182,,,
183,10183,,,
184,10184,,,
185,10185,,,
186,10186,,,
187,10187,,,
188,10188,,,
189,10189,,,
190,10190,,,
191,10191,,,
192,10192,,,
193,10193,,,
194,10194,,,
195,10195,,,
196,10196,,,
197,10197,,,
198,10198,,,
199,10199,,,
200,10200,,,
201,10201,,,
202,10202,,,
203,10203,,,
204,10204,,,
205,10205,,,
206,10206,,,
207,10207,,,
208,10208,,,
209,10209,,,
210,10210,,,
211,10211,,,
212,10212,,,
213,10213,,,
214,10214,,,
215,10215,,,
216,10216,,,
217,10217,,,
218,10218,,,
219,10219,,,
220,10220,,,
221,10221,,,
222,10222,,,
223,10223,,,
224,10224,,,
225,10225,,,
226,10226,,,
227,10227,,,
228,10228,,,
229,10229,,,
230,10230,,,
231,10231,,,
232,10232,,,
233,10233,,,
234,10234,,,
235,10235,,,
236,10236,,,
237,10237,,,
238,10238,,,
239,10239,,,
240,10240,,,
241,10241,,,
242,10242,,,
243,10243,,,
244,10244,,,
245,10245,,,
246,10246,,,
247,10247,,,
248,10248,,,
249,10249,,,
250,10250,,,
251,10251,,,
252,10252,,,
253,10253,,,
254,10254,,,
255,10255,,,
256,10256,,,
257,10257,,,
258,10258,,,
259,10259,,,
260,10260,,,
261,10261,,,
262,10262,,,
263,10263,,,
264,10264,,,
265,10265,,,
266,10266,,,
267,10267,,,
268,10268,"('Consumer Complaint', 1)",,
269,10269,,,
270,10270,,,
271,10271,,,
272,10272,,,
273,10273,,,
274,10274,,,
275,10275,,,
276,10276,,,
277,10277,,,
278,10278,"('Rodent', 2)",,
279,10279,,,
