,neighbor,1,2,3
0,10000,"('Noise - Park', 68)","('Violation of Park Rules', 22)","('Taxi Complaint', 21)"
1,10001,"('Taxi Complaint', 824)","('HEATING', 817)","('Street Condition', 609)"
2,10002,"('HEATING', 1217)","('Noise - Commercial', 788)","('Street Condition', 720)"
3,10003,"('Broken Muni Meter', 1319)","('HEATING', 1005)","('Noise - Commercial', 801)"
4,10004,"('Street Condition', 163)","('Taxi Complaint', 124)","('Street Light Condition', 118)"
5,10005,"('Street Condition', 160)","('Noise', 158)","('Street Light Condition', 135)"
6,10006,"('Noise', 194)","('General Construction/Plumbing', 157)","('Street Condition', 79)"
7,10007,"('Street Condition', 350)","('Noise', 204)","('General Construction/Plumbing', 202)"
8,10008,,,
9,10009,"('HEATING', 1522)","('Noise - Commercial', 1264)","('Noise - Street/Sidewalk', 503)"
10,10010,"('HEATING', 576)","('Broken Muni Meter', 461)","('Street Condition', 443)"
11,10011,"('HEATING', 924)","('General Construction/Plumbing', 916)","('Taxi Complaint', 732)"
12,10012,"('Noise - Commercial', 882)","('Vending', 566)","('HEATING', 553)"
13,10013,"('General Construction/Plumbing', 803)","('Broken Muni Meter', 735)","('Street Condition', 681)"
14,10014,"('HEATING', 889)","('Noise - Commercial', 741)","('Street Condition', 659)"
15,10015,,,
16,10016,"('Street Condition', 1007)","('Noise', 901)","('HEATING', 843)"
17,10017,"('Taxi Complaint', 715)","('Street Condition', 463)","('Broken Muni Meter', 462)"
18,10018,"('General Construction/Plumbing', 385)","('Street Condition', 342)","('Taxi Complaint', 315)"
19,10019,"('Broken Muni Meter', 1315)","('Taxi Complaint', 1115)","('Street Condition', 1062)"
20,10020,"('Broken Muni Meter', 101)","('Taxi Complaint', 47)","('Street Condition', 22)"
21,10021,"('Street Condition', 706)","('Noise', 563)","('HEATING', 418)"
22,10022,"('Street Condition', 956)","('Taxi Complaint', 851)","('Broken Muni Meter', 700)"
23,10023,"('HEATING', 917)","('Noise', 776)","('Street Condition', 650)"
24,10024,"('HEATING', 1079)","('Street Condition', 648)","('Noise', 564)"
25,10025,"('HEATING', 2238)","('GENERAL CONSTRUCTION', 884)","('Noise - Street/Sidewalk', 817)"
26,10026,"('HEATING', 1489)","('PLUMBING', 688)","('GENERAL CONSTRUCTION', 682)"
27,10027,"('HEATING', 2416)","('GENERAL CONSTRUCTION', 1324)","('PLUMBING', 1112)"
28,10028,"('HEATING', 748)","('Street Condition', 544)","('Noise', 433)"
29,10029,"('HEATING', 1999)","('GENERAL CONSTRUCTION', 851)","('PLUMBING', 745)"
30,10030,"('HEATING', 1399)","('GENERAL CONSTRUCTION', 912)","('PLUMBING', 818)"
31,10031,"('HEATING', 4664)","('GENERAL CONSTRUCTION', 2946)","('PLUMBING', 2550)"
