,neighbor,1,2,3
0,10000,"('Maintenance or Facility', 45)","('Taxi Complaint', 42)","('Noise - Park', 24)"
1,10001,"('Taxi Complaint', 783)","('HEATING', 673)","('Noise - Commercial', 453)"
2,10002,"('HEATING', 1851)","('Noise - Commercial', 1196)","('Noise - Street/Sidewalk', 650)"
3,10003,"('HEATING', 1358)","('Noise', 1259)","('Noise - Commercial', 1059)"
4,10004,"('Taxi Complaint', 248)","('Noise', 191)","('Street Light Condition', 127)"
5,10005,"('Noise', 219)","('Street Light Condition', 79)","('Street Condition', 61)"
6,10006,"('Noise', 156)","('Taxi Complaint', 138)","('Street Light Condition', 78)"
7,10007,"('Street Condition', 248)","('Street Light Condition', 199)","('Water System', 178)"
8,10008,,,
9,10009,"('HEATING', 1945)","('Noise - Commercial', 1803)","('Noise', 767)"
10,10010,"('HEATING', 626)","('Noise - Commercial', 442)","('Noise', 438)"
11,10011,"('HEATING', 1238)","('Noise', 1131)","('Noise - Commercial', 647)"
12,10012,"('Noise - Commercial', 1007)","('HEATING', 768)","('Noise', 415)"
13,10013,"('Noise', 697)","('HEATING', 692)","('Sewer', 657)"
14,10014,"('HEATING', 1133)","('Noise - Commercial', 919)","('Noise', 856)"
15,10015,,,
16,10016,"('GENERAL CONSTRUCTION', 1062)","('Noise', 941)","('HEATING', 894)"
17,10017,"('Taxi Complaint', 560)","('Street Condition', 364)","('Noise', 296)"
18,10018,"('Taxi Complaint', 344)","('HEATING', 280)","('Water System', 207)"
19,10019,"('HEATING', 1033)","('Noise', 928)","('Taxi Complaint', 849)"
20,10020,"('Taxi Complaint', 52)","('Vending', 34)","('Street Condition', 25)"
21,10021,"('Noise', 1372)","('Sewer', 924)","('Taxi Complaint', 830)"
22,10022,"('Noise', 764)","('Taxi Complaint', 733)","('Street Condition', 662)"
23,10023,"('HEATING', 983)","('Noise', 765)","('Street Condition', 546)"
24,10024,"('HEATING', 1718)","('Dirty Conditions', 509)","('Noise', 505)"
25,10025,"('HEATING', 2612)","('GENERAL CONSTRUCTION', 1168)","('PLUMBING', 1055)"
26,10026,"('HEATING', 2124)","('PLUMBING', 919)","('GENERAL CONSTRUCTION', 799)"
27,10027,"('HEATING', 2909)","('GENERAL CONSTRUCTION', 1217)","('PLUMBING', 1158)"
28,10028,"('HEATING', 885)","('Noise - Commercial', 444)","('Noise', 419)"
29,10029,"('HEATING', 2364)","('GENERAL CONSTRUCTION', 905)","('PLUMBING', 854)"
30,10030,"('HEATING', 1885)","('GENERAL CONSTRUCTION', 889)","('PLUMBING', 875)"
31,10031,"('HEATING', 5991)","('GENERAL CONSTRUCTION', 3258)","('PLUMBING', 2988)"
32,10032,"('HEATING', 5300)","('GENERAL CONSTRUCTION', 3194)","('PLUMBING', 2916)"
33,10033,"('HEATING', 3556)","('GENERAL CONSTRUCTION', 1778)","('PLUMBING', 1765)"
34,10034,"('HEATING', 2839)","('PLUMBING', 1483)","('GENERAL CONSTRUCTION', 1324)"
35,10035,"('HEATING', 1554)","('GENERAL CONSTRUCTION', 744)","('PLUMBING', 628)"
36,10036,"('HEATING', 745)","('Taxi Complaint', 642)","('Noise', 584)"
37,10037,"('HEATING', 878)","('PLUMBING', 321)","('GENERAL CONSTRUCTION', 306)"
38,10038,"('Noise', 338)","('Street Condition', 285)","('Street Light Condition', 184)"
39,10039,"('HEATING', 1364)","('PAINT - PLASTER', 634)","('PLUMBING', 600)"
40,10040,"('HEATING', 3950)","('GENERAL CONSTRUCTION', 1705)","('Water System', 1533)"
41,10041,,,
42,10042,,,
43,10043,,,
44,10044,"('Noise', 22)","('Water System', 13)","('NONCONST', 12)"
45,10045,,,
46,10046,,,
47,10047,,,
48,10048,"('Street Light Condition', 22)","('Sewer', 12)","('Vending', 8)"
49,10049,,,
50,10050,,,
51,10051,,,
52,10052,,,
53,10053,,,
54,10054,,,
55,10055,,,
56,10056,,,
57,10057,,,
58,10058,,,
59,10059,,,
60,10060,,,
61,10061,,,
62,10062,,,
63,10063,,,
64,10064,,,
65,10065,"('HEATING', 733)","('Street Condition', 326)","('PLUMBING', 201)"
66,10066,,,
67,10067,,,
68,10068,,,
69,10069,"('Maintenance or Facility', 9)","('Rodent', 7)","('Taxi Complaint', 4)"
70,10070,,,
71,10071,,,
72,10072,,,
73,10073,,,
74,10074,,,
75,10075,"('HEATING', 604)","('General Construction/Plumbing', 227)","('GENERAL CONSTRUCTION', 219)"
76,10076,,,
77,10077,,,
78,10078,,,
79,10079,,,
80,10080,,,
81,10081,,,
82,10082,,,
83,10083,,,
84,10084,,,
85,10085,,,
86,10086,,,
87,10087,"('Consumer Complaint', 1)",,
88,10088,,,
89,10089,,,
90,10090,,,
91,10091,,,
92,10092,,,
93,10093,,,
94,10094,,,
95,10095,,,
96,10096,,,
97,10097,,,
98,10098,,,
99,10099,,,
100,10100,,,
101,10101,,,
102,10102,,,
103,10103,,,
104,10104,,,
105,10105,,,
106,10106,,,
107,10107,,,
108,10108,"('Consumer Complaint', 2)",,
109,10109,,,
110,10110,,,
111,10111,,,
112,10112,,,
113,10113,,,
114,10114,,,
115,10115,,,
116,10116,"('Non-Residential Heat', 1)","('Consumer Complaint', 1)",
117,10117,,,
118,10118,,,
119,10119,,,
120,10120,,,
121,10121,,,
122,10122,,,
123,10123,,,
124,10124,,,
125,10125,,,
126,10126,,,
127,10127,,,
128,10128,"('HEATING', 1060)","('Noise', 558)","('Street Condition', 427)"
129,10129,,,
130,10130,,,
131,10131,,,
132,10132,,,
133,10133,,,
134,10134,,,
135,10135,,,
136,10136,,,
137,10137,,,
138,10138,,,
139,10139,,,
140,10140,,,
141,10141,,,
142,10142,,,
143,10143,,,
144,10144,,,
145,10145,,,
146,10146,,,
147,10147,,,
148,10148,,,
149,10149,,,
150,10150,"('Consumer Complaint', 1)","('Teaching/Learning/Instruction', 1)",
151,10151,,,
152,10152,,,
153,10153,,,
154,10154,,,
155,10155,,,
156,10156,,,
157,10157,,,
158,10158,,,
159,10159,,,
160,10160,,,
161,10161,,,
162,10162,"('Noise', 9)","('Emergency Response Team (ERT)', 6)","('General Construction/Plumbing', 4)"
163,10163,"('Consumer Complaint', 2)",,
164,10164,,,
165,10165,,,
166,10166,,,
167,10167,,,
168,10168,,,
169,10169,,,
170,10170,,,
171,10171,,,
172,10172,,,
173,10173,,,
174,10174,,,
175,10175,,,
176,10176,,,
177,10177,,,
178,10178,,,
179,10179,,,
180,10180,,,
181,10181,,,
182,10182,,,
183,10183,,,
184,10184,,,
185,10185,,,
186,10186,,,
187,10187,,,
188,10188,,,
189,10189,,,
190,10190,,,
191,10191,,,
192,10192,,,
193,10193,,,
194,10194,,,
195,10195,,,
196,10196,,,
197,10197,,,
198,10198,,,
199,10199,,,
200,10200,,,
201,10201,,,
202,10202,,,
203,10203,,,
204,10204,,,
205,10205,,,
206,10206,,,
207,10207,,,
208,10208,,,
209,10209,,,
210,10210,,,
211,10211,,,
212,10212,,,
213,10213,,,
214,10214,,,
215,10215,,,
216,10216,,,
217,10217,,,
218,10218,,,
219,10219,,,
220,10220,,,
221,10221,,,
222,10222,,,
223,10223,,,
224,10224,,,
225,10225,,,
226,10226,,,
227,10227,,,
228,10228,,,
229,10229,,,
230,10230,,,
231,10231,,,
232,10232,,,
233,10233,,,
234,10234,,,
235,10235,,,
236,10236,,,
237,10237,,,
238,10238,,,
239,10239,,,
240,10240,,,
241,10241,,,
242,10242,,,
243,10243,,,
244,10244,,,
245,10245,,,
246,10246,,,
247,10247,,,
248,10248,,,
249,10249,,,
250,10250,,,
251,10251,,,
252,10252,,,
253,10253,,,
254,10254,,,
255,10255,,,
256,10256,,,
257,10257,,,
258,10258,,,
259,10259,,,
260,10260,,,
261,10261,,,
262,10262,,,
263,10263,,,
264,10264,,,
265,10265,,,
266,10266,,,
267,10267,,,
268,10268,,,
269,10269,,,
270,10270,,,
271,10271,,,
272,10272,,,
273,10273,,,
274,10274,,,
275,10275,,,
276,10276,"('Consumer Complaint', 1)",,
277,10277,,,
278,10278,"('Noise - Street/Sidewalk', 1)","('Sewer', 1)","('Street Condition', 1)"
279,10279,,,
280,10280,"('Noise', 76)","('Taxi Complaint', 57)","('Sewer', 26)"
281,10281,"('Taxi Complaint', 4)","('Street Condition', 3)","('Elevator', 1)"
282,10282,"('Taxi Complaint', 41)","('Street Sign - Damaged', 10)","('Noise - Street/Sidewalk', 8)"
283,10283,,,
284,10284,,,
285,10285,,,
286,10286,,,
287,10287,,,
288,10288,,,
289,10289,,,
290,10290,,,
291,10291,,,
292,10292,,,
