,neighbor,1,2,3
0,10000,"('Noise - Park', 41)","('Street Condition', 29)","('Bike/Roller/Skate Chronic', 11)"
1,10001,"('Noise', 1131)","('Taxi Complaint', 704)","('Street Condition', 687)"
2,10002,"('Noise - Residential', 2549)","('HEAT/HOT WATER', 1419)","('Noise - Commercial', 1302)"
3,10003,"('Noise - Residential', 1370)","('HEAT/HOT WATER', 1362)","('Noise', 1236)"
4,10004,"('Noise', 245)","('Illegal Parking', 148)","('Street Condition', 145)"
5,10005,"('Noise', 307)","('Noise - Street/Sidewalk', 153)","('Illegal Parking', 138)"
6,10006,"('Noise', 253)","('Street Condition', 81)","('General Construction/Plumbing', 65)"
7,10007,"('Noise', 317)","('Noise - Street/Sidewalk', 304)","('Street Condition', 274)"
8,10008,,,
9,10009,"('Noise - Residential', 2328)","('HEAT/HOT WATER', 1620)","('Noise - Commercial', 1279)"
10,10010,"('Noise', 737)","('Noise - Residential', 697)","('HEAT/HOT WATER', 496)"
11,10011,"('Noise', 1297)","('Noise - Residential', 907)","('Noise - Commercial', 855)"
12,10012,"('Noise - Commercial', 869)","('Noise', 712)","('HEAT/HOT WATER', 688)"
13,10013,"('Noise', 1038)","('Street Condition', 872)","('HEAT/HOT WATER', 529)"
14,10014,"('HEAT/HOT WATER', 901)","('Noise', 856)","('Noise - Commercial', 793)"
15,10015,,,
16,10016,"('Noise', 1365)","('Street Condition', 1033)","('HEAT/HOT WATER', 915)"
17,10017,"('Illegal Parking', 640)","('Noise', 587)","('Noise - Street/Sidewalk', 579)"
18,10018,"('Noise', 471)","('Broken Muni Meter', 378)","('Street Condition', 319)"
19,10019,"('Noise', 1425)","('HEAT/HOT WATER', 1367)","('Street Condition', 938)"
20,10020,"('Street Condition', 30)","('Taxi Complaint', 24)","('Noise', 21)"
21,10021,"('Noise', 687)","('Street Condition', 618)","('HEAT/HOT WATER', 522)"
22,10022,"('Street Condition', 986)","('Noise', 830)","('HEAT/HOT WATER', 754)"
23,10023,"('HEAT/HOT WATER', 797)","('Noise', 776)","('Noise - Residential', 744)"
24,10024,"('HEAT/HOT WATER', 1282)","('Noise - Residential', 983)","('Noise', 841)"
25,10025,"('HEAT/HOT WATER', 3138)","('Noise - Residential', 2289)","('Noise', 979)"
26,10026,"('Noise - Residential', 1503)","('HEAT/HOT WATER', 1469)","('Noise - Street/Sidewalk', 1400)"
27,10027,"('Noise - Residential', 2590)","('HEAT/HOT WATER', 2546)","('Noise - Street/Sidewalk', 1209)"
28,10028,"('Noise', 1120)","('HEAT/HOT WATER', 943)","('Noise - Residential', 708)"
29,10029,"('Noise - Residential', 2771)","('HEAT/HOT WATER', 2712)","('Noise - Commercial', 1173)"
30,10030,"('HEAT/HOT WATER', 2100)","('Noise - Residential', 1728)","('Noise - Street/Sidewalk', 692)"
31,10031,"('HEAT/HOT WATER', 4275)","('Noise - Residential', 3840)","('Noise - Street/Sidewalk', 2104)"
32,10032,"('HEAT/HOT WATER', 4165)","('Noise - Residential', 3220)","('Noise - Street/Sidewalk', 2132)"
33,10033,"('HEAT/HOT WATER', 3646)","('Noise - Residential', 2567)","('Noise - Street/Sidewalk', 1200)"
34,10034,"('HEAT/HOT WATER', 2804)","('Noise - Residential', 2456)","('Noise - Commercial', 1724)"
35,10035,"('HEAT/HOT WATER', 1463)","('Noise - Residential', 1229)","('Noise - Street/Sidewalk', 677)"
36,10036,"('Illegal Parking', 973)","('HEAT/HOT WATER', 869)","('Noise', 820)"
37,10037,"('HEAT/HOT WATER', 624)","('Noise - Residential', 551)","('UNSANITARY CONDITION', 291)"
38,10038,"('Noise', 713)","('Noise - Residential', 676)","('Illegal Parking', 264)"
39,10039,"('Noise - Residential', 1391)","('HEAT/HOT WATER', 973)","('UNSANITARY CONDITION', 462)"
40,10040,"('HEAT/HOT WATER', 5832)","('Noise - Residential', 2978)","('Noise - Street/Sidewalk', 2208)"
41,10041,"('Noise', 14)","('Street Condition', 11)","('DOF Property - Request Copy', 3)"
42,10042,,,
43,10043,,,
44,10044,"('HEAT/HOT WATER', 47)","('Water System', 30)","('UNSANITARY CONDITION', 23)"
45,10045,,,
46,10046,,,
47,10047,,,
48,10048,"('Traffic Signal Condition', 12)","('Street Light Condition', 8)","('Taxi Complaint', 7)"
49,10049,,,
50,10050,,,
51,10051,,,
52,10052,,,
53,10053,,,
54,10054,,,
55,10055,,,
56,10056,,,
57,10057,,,
